ID,Aboutus,Aboutus_Duration,Item_page,Item_page_Duration,Checkout_page,Checkout_page_Duration,Bounce_Rates,Exit_Rates,Page_Values,Remarkable_Day,Month,Operating_Systems,Browser,Province,TrafficType,VisitorType,Weekend,Income
1,0,0,1,10,9,700,0,0.011111111,29.62188989,0,Dec,Android,2,9,10,Returning_Visitor,no,1
2,0,0,2,15,10,894.6666667,0,0.022222222,0,0,May,Android,4,4,2,Returning_Visitor,no,0
3,0,0,1,85,14,306.5,0,0.004444444,0,0,Mar,Android,2,3,2,Returning_Visitor,no,0
4,0,0,5,175.1,26,615.5595238,0,0.002083333,62.77367187,0,Sep,Windows,1,1,3,New_Visitor,1,1
5,0,0,2,25,5,40,0.066666667,0.083333333,0,0.6,May,Android,2,1,1,Returning_Visitor,no,0
6,0,0,1,113.75,26,1905.078571,0.022666667,0.0346,11.70614611,0,Nov,iOS,2,2,1,Returning_Visitor,no,1
7,0,0,0,0,53,1624.320952,0.009803922,0.01735761,0,0,Sep,iOS,2,4,3,Returning_Visitor,no,0
8,3,339.5,9,102.8666667,29,693.2541667,0,0.014705882,77.64914484,0,Dec,Android,10,1,2,Returning_Visitor,no,1
9,0,0,4,49.3,12,524.9692308,0,0.0125,0,0,Sep,Android,2,5,2,New_Visitor,no,0
10,0,0,1,8,47,1459.576667,0.010416667,0.017638889,0,0,Oct,Windows,1,3,3,Returning_Visitor,no,0
11,0,0,0,0,26,1114.733333,0.015384615,0.026098901,26.13034871,0,Nov,iOS,2,9,20,Returning_Visitor,1,0
12,0,0,6,210.5,26,549.55,0.017241379,0.032758621,0,0,May,iOS,2,1,11,Returning_Visitor,1,0
13,0,0,0,0,10,111,0,0.02,0,0,Mar,Android,4,7,3,Returning_Visitor,no,0
14,0,0,5,77,94,3210.848218,0.00212766,0.020921986,0,0,Oct,Android,2,3,2,Returning_Visitor,1,0
15,0,0,0,0,1,0,0.2,0.2,0,0,Dec,macOS,13,9,20,Other,no,0
16,0,0,0,0,15,827.1666667,0.013333333,0.046666667,0,0,Dec,Windows,1,8,20,Returning_Visitor,no,0
17,0,0,0,0,28,1384.071429,0.007142857,0.032380952,11.01942857,0,May,Android,4,3,2,Returning_Visitor,no,1
18,0,0,0,0,35,729.2916667,0,0.009387755,0,0,Dec,Android,2,3,2,Returning_Visitor,no,0
19,3,100,0,0,22,2175.993651,0.01,0.049312469,0,0,Mar,Android,2,3,1,Returning_Visitor,no,0
20,0,0,5,113.5,13,437.2,0,0.002222222,0,0,Mar,Windows,8,4,11,New_Visitor,no,0
21,0,0,2,84.5,17,596.0833333,0,0.03697479,0,0,May,Android,4,3,3,Returning_Visitor,no,0
22,0,0,1,43.5,79,2006.834416,0.002531646,0.006439185,0,0,Nov,iOS,3,1,3,Returning_Visitor,1,0
23,0,0,0,0,10,383.5,0,0.022222222,0,0,Nov,Windows,1,1,2,New_Visitor,no,0
24,4,106,4,31,27,825.1401515,0.006896552,0.025517241,0,0,Nov,Android,2,3,2,Returning_Visitor,1,0
25,0,0,0,0,28,534.5833333,0,0.021428571,0,1,May,Android,4,4,1,Returning_Visitor,1,0
26,0,0,0,0,3,17,0,0.066666667,0,0,May,Android,2,9,3,Returning_Visitor,no,0
27,0,0,3,214.6,59,1992.733333,0.003225806,0.034331797,13.18078221,0,Aug,Android,2,1,2,Returning_Visitor,1,0
28,0,0,4,84,35,1059,0,0.005882353,0,0,Mar,Android,2,3,2,New_Visitor,no,0
29,0,0,7,229.75,33,760.6190476,0,0.011111111,51.86660251,0,Nov,Android,2,3,2,New_Visitor,no,1
30,0,0,0,0,14,1501,0.093333333,0.126666667,0,0,May,iOS,2,4,4,Returning_Visitor,no,0
31,0,0,0,0,1,36,0,0.066666667,0,0,Mar,iOS,2,6,2,Returning_Visitor,1,0
32,6,147.8666667,16,315.1449864,173,6255.017866,0.002531328,0.010737154,0,0,Mar,Android,2,2,2,Returning_Visitor,no,0
33,0,0,0,0,29,631.775,0.021428571,0.05042517,0,0,Nov,Android,2,1,1,Returning_Visitor,no,0
34,0,0,0,0,5,241,0,0.08,0,1,May,Android,2,5,1,Returning_Visitor,1,0
35,1,100,0,0,13,364.35,0,0.015384615,0,0,May,iOS,2,2,3,Returning_Visitor,1,0
36,0,0,2,44.5,137,7012.266796,0.008321168,0.01964546,0,0,Nov,Windows,1,1,10,Returning_Visitor,1,1
37,1,64.5,2,46.5,91,3309.448776,0.013285024,0.020476218,0,0,Nov,iOS,2,1,13,Returning_Visitor,1,1
38,0,0,0,0,65,3873.02197,0.014393939,0.01991342,0,0,Nov,iOS,2,1,2,Returning_Visitor,1,1
39,0,0,0,0,11,142.1666667,0.02,0.03,0,0,May,Android,2,9,4,Returning_Visitor,1,0
40,0,0,0,0,70,2083.3,0.000980392,0.005252101,0,0,May,Android,2,7,2,Returning_Visitor,no,0
41,0,0,0,0,19,725.3333333,0.010526316,0.023157895,0,0,May,Android,2,3,4,Returning_Visitor,no,0
42,0,0,1,0,0,0,0.2,0.2,0,0,Nov,Windows,1,3,8,Returning_Visitor,no,0
43,0,0,1,0,58,1200.5,0.002298851,0.017816092,17.98756852,0,Dec,Android,10,3,6,Returning_Visitor,no,0
44,0,0,7,75.05,31,489.1452381,0.011111111,0.022222222,27.38224222,0,Mar,Android,2,5,2,Returning_Visitor,1,1
45,0,0,1,8,28,643.875,0,0.003571429,0,0.6,May,Android,4,1,2,New_Visitor,no,0
46,0,0,4,26,18,727.6190476,0,0.013333333,0,0,May,Android,2,5,3,New_Visitor,1,0
47,0,0,4,72.5,95,2354.979058,0.00137457,0.005695387,5.214690992,0,Dec,iOS,2,1,2,Returning_Visitor,1,0
48,1,91,8,192.5555556,109,2926.431962,0,0.001851852,12.8915,0,May,Ubuntu,1,1,3,New_Visitor,no,1
49,0,0,0,0,3,70,0,0.033333333,0,0.8,May,Android,2,3,2,Returning_Visitor,no,0
